model_id,Cluster,Attractor
bn_1977,38,40
bn_1978,59,14
bn_1979,54,5
bn_198,44,6
bn_1980,12,11
bn_1981,70,7
bn_1982,12,11
bn_1983,22,2
bn_1984,50,24
bn_1985,50,24
bn_1986,48,15
bn_1987,48,15
bn_1988,50,24
bn_1989,50,24
bn_199,0,70
bn_1990,48,15
bn_1991,48,15
bn_1992,9,3
bn_1993,9,3
bn_1994,36,15
bn_1995,36,15
bn_1996,9,3
bn_1997,9,3
bn_1998,36,15
bn_1999,36,15
bn_2,56,4
bn_20,33,11
bn_200,29,35
bn_2000,60,23
bn_2001,37,33
bn_2002,60,23
bn_2003,37,27
bn_2004,44,6
bn_2005,57,60
bn_2006,44,6
bn_2007,49,17
bn_2008,4,9
bn_2009,45,52
bn_201,17,34
bn_2010,4,9
bn_2011,63,71
bn_2012,69,6
bn_2013,32,60
bn_2014,69,6
bn_2015,49,17
bn_2016,31,50
bn_2017,31,50
bn_2018,7,59
bn_2019,7,59
bn_202,4,64
bn_2020,46,21
bn_2021,46,21
bn_2022,3,4
bn_2023,3,4
bn_2024,31,50
bn_2025,31,50
bn_2026,7,59
bn_2027,7,59
bn_2028,46,21
bn_2029,46,21
bn_203,41,54
bn_2030,3,4
bn_2031,3,4
bn_2032,13,8
bn_2033,13,8
bn_2034,21,13
bn_2035,21,13
bn_2036,6,21
bn_2037,6,21
bn_2038,56,4
bn_2039,56,4
bn_204,4,9
bn_2040,13,8
bn_2041,13,8
bn_2042,21,13
bn_2043,21,13
bn_2044,6,21
bn_2045,6,21
bn_2046,56,4
bn_2047,56,4
bn_2048,47,1
bn_2049,74,49
bn_205,45,52
bn_2050,47,1
bn_2051,8,47
bn_2052,39,42
bn_2053,66,66
bn_2054,39,42
bn_2055,66,72
bn_2056,5,14
bn_2057,15,40
bn_2058,5,14
bn_2059,51,5
bn_206,29,35
bn_2060,52,11
bn_2061,34,7
bn_2062,52,11
bn_2063,34,2
bn_2064,11,41
bn_2065,26,48
bn_2066,11,41
bn_2067,26,38
bn_2068,25,46
bn_2069,16,57
bn_207,58,67
bn_2070,25,46
bn_2071,16,19
bn_2072,24,14
bn_2073,67,40
bn_2074,24,14
bn_2075,15,5
bn_2076,33,11
bn_2077,42,7
bn_2078,33,11
bn_2079,22,2
bn_208,4,64
bn_2080,19,29
bn_2081,19,29
bn_2082,27,15
bn_2083,27,15
bn_2084,19,29
bn_2085,19,29
bn_2086,27,15
bn_2087,27,15
bn_2088,65,12
bn_2089,65,12
bn_209,62,45
bn_2090,48,15
bn_2091,48,15
bn_2092,65,12
bn_2093,65,12
bn_2094,48,15
bn_2095,48,15
bn_2096,28,53
bn_2097,53,63
bn_2098,28,53
bn_2099,53,58
bn_21,42,7
bn_210,4,9
bn_2100,71,6
bn_2101,57,60
bn_2102,71,6
bn_2103,0,17
bn_2104,11,25
bn_2105,30,43
bn_2106,11,25
bn_2107,30,55
bn_2108,44,6
bn_2109,57,60
bn_211,72,18
bn_2110,44,6
bn_2111,49,17
bn_2112,1,36
bn_2113,1,36
bn_2114,6,21
bn_2115,6,21
bn_2116,1,36
bn_2117,1,36
bn_2118,6,21
bn_2119,6,21
bn_212,12,11
bn_2120,61,30
bn_2121,61,30
bn_2122,43,21
bn_2123,43,21
bn_2124,61,30
bn_2125,61,30
bn_2126,43,21
bn_2127,43,21
bn_2128,18,16
bn_2129,40,37
bn_213,70,7
bn_2130,18,16
bn_2131,40,51
bn_2132,24,14
bn_2133,67,40
bn_2134,24,14
bn_2135,15,5
bn_2136,4,64
bn_2137,41,54
bn_2138,4,64
bn_2139,20,75
bn_214,59,14
bn_2140,59,14
bn_2141,38,40
bn_2142,59,14
bn_2143,54,5
bn_2144,31,50
bn_2145,31,50
bn_2146,46,21
bn_2147,46,21
bn_2148,31,50
bn_2149,31,50
bn_215,38,40
bn_2150,46,21
bn_2151,46,21
bn_2152,13,8
bn_2153,13,8
bn_2154,6,21
bn_2155,6,21
bn_2156,13,8
bn_2157,13,8
bn_2158,6,21
bn_2159,6,21
bn_216,69,6
bn_2160,47,1
bn_2161,74,49
bn_2162,47,1
bn_2163,8,47
bn_2164,5,14
bn_2165,15,40
bn_2166,5,14
bn_2167,51,5
bn_2168,11,41
bn_2169,26,48
bn_217,32,60
bn_2170,11,41
bn_2171,26,38
bn_2172,24,14
bn_2173,67,40
bn_2174,24,14
bn_2175,15,5
bn_2176,1,36
bn_2177,1,36
bn_2178,6,21
bn_2179,6,21
bn_218,12,11
bn_2180,1,36
bn_2181,1,36
bn_2182,6,21
bn_2183,6,21
bn_2184,61,30
bn_2185,61,30
bn_2186,43,21
bn_2187,43,21
bn_2188,61,30
bn_2189,61,30
bn_219,64,32
bn_2190,43,21
bn_2191,43,21
bn_2192,18,16
bn_2193,40,37
bn_2194,18,16
bn_2195,40,62
bn_2196,24,14
bn_2197,67,40
bn_2198,24,14
bn_2199,68,28
bn_22,33,11
bn_220,59,14
bn_2200,4,64
bn_2201,41,54
bn_2202,4,64
bn_2203,62,45
bn_2204,59,14
bn_2205,38,40
bn_2206,59,14
bn_2207,54,28
bn_2208,31,50
bn_2209,31,50
bn_221,54,28
bn_2210,46,21
bn_2211,46,21
bn_2212,31,50
bn_2213,31,50
bn_2214,46,21
bn_2215,46,21
bn_2216,13,8
bn_2217,13,8
bn_2218,6,21
bn_2219,6,21
bn_222,69,6
bn_2220,13,8
bn_2221,13,8
bn_2222,6,21
bn_2223,6,21
bn_2224,47,1
bn_2225,74,49
bn_2226,47,1
bn_2227,8,68
bn_2228,5,14
bn_2229,15,40
bn_223,49,70
bn_2230,5,14
bn_2231,51,28
bn_2232,11,41
bn_2233,26,48
bn_2234,11,41
bn_2235,26,74
bn_2236,24,14
bn_2237,67,40
bn_2238,24,14
bn_2239,68,28
bn_224,7,59
bn_225,31,50
bn_226,19,29
bn_227,7,59
bn_228,31,50
bn_229,19,29
bn_23,64,32
bn_230,3,4
bn_231,46,21
bn_232,27,15
bn_233,3,4
bn_234,46,21
bn_235,27,15
bn_236,7,59
bn_237,31,50
bn_238,19,29
bn_239,7,59
bn_24,29,35
bn_240,31,50
bn_241,19,29
bn_242,3,4
bn_243,46,21
bn_244,27,15
bn_245,3,4
bn_246,46,21
bn_247,27,15
bn_248,21,13
bn_249,13,8
bn_25,17,34
bn_250,65,12
bn_251,21,13
bn_252,13,8
bn_253,65,12
bn_254,56,4
bn_255,6,21
bn_256,48,15
bn_257,56,4
bn_258,6,21
bn_259,48,15
bn_26,29,35
bn_260,21,13
bn_261,13,8
bn_262,65,12
bn_263,21,13
bn_264,13,8
bn_265,65,12
bn_266,56,4
bn_267,6,21
bn_268,48,15
bn_269,56,4
bn_27,58,67
bn_270,6,21
bn_271,48,15
bn_272,39,42
bn_273,66,66
bn_274,47,1
bn_275,74,49
bn_276,28,53
bn_277,53,63
bn_278,39,42
bn_279,66,56
bn_28,12,11
bn_280,47,1
bn_281,8,68
bn_282,28,53
bn_283,53,65
bn_284,52,11
bn_285,34,7
bn_286,5,14
bn_287,15,40
bn_288,71,6
bn_289,0,60
bn_29,70,7
bn_290,52,11
bn_291,34,32
bn_292,5,14
bn_293,51,28
bn_294,71,6
bn_295,0,70
bn_296,25,46
bn_297,16,57
bn_298,11,41
bn_299,26,48
bn_3,10,31
bn_30,12,11
bn_300,11,25
bn_301,30,43
bn_302,25,46
bn_303,16,20
bn_304,11,41
bn_305,26,74
bn_306,11,25
bn_307,30,69
bn_308,33,11
bn_309,42,7
bn_31,64,32
bn_310,24,14
bn_311,67,40
bn_312,44,6
bn_313,57,60
bn_314,33,11
bn_315,64,32
bn_316,24,14
bn_317,68,28
bn_318,44,6
bn_319,0,70
bn_32,7,59
bn_320,10,31
bn_321,1,36
bn_322,50,24
bn_323,10,31
bn_324,1,36
bn_325,50,24
bn_326,56,4
bn_327,6,21
bn_328,48,15
bn_329,56,4
bn_33,7,59
bn_330,6,21
bn_331,48,15
bn_332,10,31
bn_333,1,36
bn_334,50,24
bn_335,10,31
bn_336,1,36
bn_337,50,24
bn_338,56,4
bn_339,6,21
bn_34,3,4
bn_340,48,15
bn_341,56,4
bn_342,6,21
bn_343,48,15
bn_344,14,10
bn_345,61,30
bn_346,9,3
bn_347,14,10
bn_348,61,30
bn_349,9,3
bn_35,3,4
bn_350,23,4
bn_351,43,21
bn_352,36,15
bn_353,23,4
bn_354,43,21
bn_355,36,15
bn_356,14,10
bn_357,61,30
bn_358,9,3
bn_359,14,10
bn_36,7,59
bn_360,61,30
bn_361,9,3
bn_362,23,4
bn_363,43,21
bn_364,36,15
bn_365,23,4
bn_366,43,21
bn_367,36,15
bn_368,2,39
bn_369,55,61
bn_37,7,59
bn_370,18,16
bn_371,40,37
bn_372,60,23
bn_373,37,33
bn_374,2,39
bn_375,35,26
bn_376,18,16
bn_377,40,62
bn_378,60,23
bn_379,73,27
bn_38,3,4
bn_380,33,11
bn_381,42,7
bn_382,24,14
bn_383,67,40
bn_384,44,6
bn_385,57,60
bn_386,33,11
bn_387,22,2
bn_388,24,14
bn_389,68,28
bn_39,3,4
bn_390,44,6
bn_391,49,17
bn_392,29,35
bn_393,17,34
bn_394,4,64
bn_395,41,54
bn_396,4,9
bn_397,45,52
bn_398,29,35
bn_399,17,22
bn_4,10,31
bn_40,21,13
bn_400,4,64
bn_401,62,45
bn_402,4,9
bn_403,63,71
bn_404,12,11
bn_405,70,7
bn_406,59,14
bn_407,38,40
bn_408,69,6
bn_409,32,60
bn_41,21,13
bn_410,12,11
bn_411,22,2
bn_412,59,14
bn_413,54,28
bn_414,69,6
bn_415,49,17
bn_416,7,59
bn_417,31,50
bn_418,19,29
bn_419,7,59
bn_42,56,4
bn_420,31,50
bn_421,19,29
bn_422,3,4
bn_423,46,21
bn_424,27,15
bn_425,3,4
bn_426,46,21
bn_427,27,15
bn_428,7,59
bn_429,31,50
bn_43,56,4
bn_430,19,29
bn_431,7,59
bn_432,31,50
bn_433,19,29
bn_434,3,4
bn_435,46,21
bn_436,27,15
bn_437,3,4
bn_438,46,21
bn_439,27,15
bn_44,21,13
bn_440,21,13
bn_441,13,8
bn_442,65,12
bn_443,21,13
bn_444,13,8
bn_445,65,12
bn_446,56,4
bn_447,6,21
bn_448,48,15
bn_449,56,4
bn_45,21,13
bn_450,6,21
bn_451,48,15
bn_452,21,13
bn_453,13,8
bn_454,65,12
bn_455,21,13
bn_456,13,8
bn_457,65,12
bn_458,56,4
bn_459,6,21
bn_46,56,4
bn_460,48,15
bn_461,56,4
bn_462,6,21
bn_463,48,15
bn_464,39,42
bn_465,66,66
bn_466,47,1
bn_467,74,49
bn_468,28,53
bn_469,53,63
bn_47,56,4
bn_470,39,42
bn_471,66,72
bn_472,47,1
bn_473,8,68
bn_474,28,53
bn_475,53,58
bn_476,52,11
bn_477,42,7
bn_478,5,14
bn_479,15,40
bn_48,39,42
bn_480,71,6
bn_481,57,60
bn_482,52,11
bn_483,34,2
bn_484,5,14
bn_485,51,28
bn_486,71,6
bn_487,0,17
bn_488,25,46
bn_489,16,57
bn_49,66,66
bn_490,11,41
bn_491,26,48
bn_492,11,25
bn_493,30,43
bn_494,25,46
bn_495,16,19
bn_496,11,41
bn_497,26,74
bn_498,11,25
bn_499,30,55
bn_5,10,31
bn_50,39,42
bn_500,33,11
bn_501,42,7
bn_502,24,14
bn_503,67,40
bn_504,44,6
bn_505,57,60
bn_506,33,11
bn_507,22,2
bn_508,24,14
bn_509,68,28
bn_51,66,56
bn_510,44,6
bn_511,49,17
bn_512,10,31
bn_513,1,36
bn_514,50,24
bn_515,1,36
bn_516,10,31
bn_517,50,24
bn_518,6,21
bn_519,56,4
bn_52,52,11
bn_520,48,15
bn_521,6,21
bn_522,56,4
bn_523,48,15
bn_524,1,36
bn_525,10,31
bn_526,50,24
bn_527,1,36
bn_528,10,31
bn_529,50,24
bn_53,42,7
bn_530,6,21
bn_531,56,4
bn_532,48,15
bn_533,6,21
bn_534,56,4
bn_535,48,15
bn_536,61,30
bn_537,14,10
bn_538,9,3
bn_539,61,30
bn_54,52,11
bn_540,14,10
bn_541,9,3
bn_542,43,21
bn_543,23,4
bn_544,36,15
bn_545,43,21
bn_546,23,4
bn_547,36,15
bn_548,61,30
bn_549,14,10
bn_55,34,32
bn_550,9,3
bn_551,61,30
bn_552,14,10
bn_553,9,3
bn_554,43,21
bn_555,23,4
bn_556,36,15
bn_557,43,21
bn_558,23,4
bn_559,36,15
bn_56,25,46
bn_560,18,16
bn_561,40,37
bn_562,2,39
bn_563,55,61
bn_564,60,23
bn_565,37,33
bn_566,18,16
bn_567,40,62
bn_568,2,39
bn_569,35,73
bn_57,16,57
bn_570,60,23
bn_571,73,44
bn_572,24,14
bn_573,67,40
bn_574,33,11
bn_575,42,7
bn_576,44,6
bn_577,57,60
bn_578,24,14
bn_579,68,28
bn_58,25,46
bn_580,33,11
bn_581,64,32
bn_582,44,6
bn_583,0,70
bn_584,4,64
bn_585,41,54
bn_586,29,35
bn_587,17,34
bn_588,4,9
bn_589,45,52
bn_59,16,20
bn_590,4,64
bn_591,62,45
bn_592,29,35
bn_593,58,67
bn_594,4,9
bn_595,72,18
bn_596,59,14
bn_597,38,40
bn_598,12,11
bn_599,70,7
bn_6,56,4
bn_60,33,11
bn_600,69,6
bn_601,32,60
bn_602,59,14
bn_603,54,28
bn_604,12,11
bn_605,64,32
bn_606,69,6
bn_607,49,70
bn_608,1,36
bn_609,1,36
bn_61,42,7
bn_610,6,21
bn_611,6,21
bn_612,1,36
bn_613,1,36
bn_614,6,21
bn_615,6,21
bn_616,61,30
bn_617,61,30
bn_618,43,21
bn_619,43,21
bn_62,33,11
bn_620,61,30
bn_621,61,30
bn_622,43,21
bn_623,43,21
bn_624,18,16
bn_625,40,37
bn_626,18,16
bn_627,40,62
bn_628,24,14
bn_629,67,40
bn_63,64,32
bn_630,24,14
bn_631,68,28
bn_632,4,64
bn_633,41,54
bn_634,4,64
bn_635,62,45
bn_636,59,14
bn_637,38,40
bn_638,59,14
bn_639,54,28
bn_64,10,31
bn_640,31,50
bn_641,7,59
bn_642,19,29
bn_643,31,50
bn_644,7,59
bn_645,19,29
bn_646,46,21
bn_647,3,4
bn_648,27,15
bn_649,46,21
bn_65,10,31
bn_650,3,4
bn_651,27,15
bn_652,31,50
bn_653,7,59
bn_654,19,29
bn_655,31,50
bn_656,7,59
bn_657,19,29
bn_658,46,21
bn_659,3,4
bn_66,56,4
bn_660,27,15
bn_661,46,21
bn_662,3,4
bn_663,27,15
bn_664,13,8
bn_665,21,13
bn_666,65,12
bn_667,13,8
bn_668,21,13
bn_669,65,12
bn_67,56,4
bn_670,6,21
bn_671,56,4
bn_672,48,15
bn_673,6,21
bn_674,56,4
bn_675,48,15
bn_676,13,8
bn_677,21,13
bn_678,65,12
bn_679,13,8
bn_68,10,31
bn_680,21,13
bn_681,65,12
bn_682,6,21
bn_683,56,4
bn_684,48,15
bn_685,6,21
bn_686,56,4
bn_687,48,15
bn_688,47,1
bn_689,74,49
bn_69,10,31
bn_690,39,42
bn_691,66,66
bn_692,28,53
bn_693,53,63
bn_694,47,1
bn_695,8,68
bn_696,39,42
bn_697,66,56
bn_698,28,53
bn_699,53,65
bn_7,56,4
bn_70,56,4
bn_700,5,14
bn_701,15,40
bn_702,52,11
bn_703,34,7
bn_704,71,6
bn_705,57,60
bn_706,5,14
bn_707,51,28
bn_708,52,11
bn_709,34,32
bn_71,56,4
bn_710,71,6
bn_711,0,70
bn_712,11,41
bn_713,26,48
bn_714,25,46
bn_715,16,57
bn_716,11,25
bn_717,30,43
bn_718,11,41
bn_719,26,74
bn_72,14,10
bn_720,25,46
bn_721,16,20
bn_722,11,25
bn_723,30,69
bn_724,24,14
bn_725,67,40
bn_726,33,11
bn_727,42,7
bn_728,44,6
bn_729,57,60
bn_73,14,10
bn_730,24,14
bn_731,68,28
bn_732,33,11
bn_733,64,32
bn_734,44,6
bn_735,0,70
bn_736,31,50
bn_737,31,50
bn_738,46,21
bn_739,46,21
bn_74,23,4
bn_740,31,50
bn_741,31,50
bn_742,46,21
bn_743,46,21
bn_744,13,8
bn_745,13,8
bn_746,6,21
bn_747,6,21
bn_748,13,8
bn_749,13,8
bn_75,23,4
bn_750,6,21
bn_751,6,21
bn_752,47,1
bn_753,74,49
bn_754,47,1
bn_755,8,68
bn_756,5,14
bn_757,15,40
bn_758,5,14
bn_759,51,28
bn_76,14,10
bn_760,11,41
bn_761,26,48
bn_762,11,41
bn_763,26,74
bn_764,24,14
bn_765,67,40
bn_766,24,14
bn_767,68,28
bn_768,1,36
bn_769,1,36
bn_77,14,10
bn_770,6,21
bn_771,6,21
bn_772,1,36
bn_773,1,36
bn_774,6,21
bn_775,6,21
bn_776,61,30
bn_777,61,30
bn_778,43,21
bn_779,43,21
bn_78,23,4
bn_780,61,30
bn_781,61,30
bn_782,43,21
bn_783,43,21
bn_784,18,16
bn_785,40,37
bn_786,18,16
bn_787,40,51
bn_788,24,14
bn_789,67,40
bn_79,23,4
bn_790,24,14
bn_791,15,5
bn_792,4,64
bn_793,41,54
bn_794,4,64
bn_795,20,75
bn_796,59,14
bn_797,38,40
bn_798,59,14
bn_799,54,5
bn_8,14,10
bn_80,2,39
bn_800,31,50
bn_801,31,50
bn_802,46,21
bn_803,46,21
bn_804,31,50
bn_805,31,50
bn_806,46,21
bn_807,46,21
bn_808,13,8
bn_809,13,8
bn_81,55,61
bn_810,6,21
bn_811,6,21
bn_812,13,8
bn_813,13,8
bn_814,43,21
bn_815,6,21
bn_816,47,1
bn_817,74,49
bn_818,47,1
bn_819,74,47
bn_82,2,39
bn_820,5,14
bn_821,15,40
bn_822,5,14
bn_823,15,5
bn_824,11,41
bn_825,26,48
bn_826,11,41
bn_827,26,38
bn_828,24,14
bn_829,67,40
bn_83,35,26
bn_830,24,14
bn_831,15,5
bn_832,1,36
bn_833,10,31
bn_834,50,24
bn_835,1,36
bn_836,10,31
bn_837,50,24
bn_838,6,21
bn_839,56,4
bn_84,33,11
bn_840,48,15
bn_841,6,21
bn_842,56,4
bn_843,48,15
bn_844,1,36
bn_845,10,31
bn_846,50,24
bn_847,1,36
bn_848,10,31
bn_849,50,24
bn_85,42,7
bn_850,6,21
bn_851,56,4
bn_852,48,15
bn_853,6,21
bn_854,56,4
bn_855,48,15
bn_856,61,30
bn_857,14,10
bn_858,9,3
bn_859,61,30
bn_86,33,11
bn_860,14,10
bn_861,9,3
bn_862,43,21
bn_863,23,4
bn_864,36,15
bn_865,43,21
bn_866,23,4
bn_867,36,15
bn_868,61,30
bn_869,14,10
bn_87,22,2
bn_870,9,3
bn_871,61,30
bn_872,14,10
bn_873,9,3
bn_874,43,21
bn_875,23,4
bn_876,36,15
bn_877,43,21
bn_878,23,4
bn_879,36,15
bn_88,29,35
bn_880,18,16
bn_881,40,37
bn_882,2,39
bn_883,55,61
bn_884,60,23
bn_885,37,33
bn_886,18,16
bn_887,40,51
bn_888,2,39
bn_889,35,26
bn_89,17,34
bn_890,60,23
bn_891,37,27
bn_892,24,14
bn_893,67,40
bn_894,33,11
bn_895,42,7
bn_896,44,6
bn_897,57,60
bn_898,24,14
bn_899,15,5
bn_9,14,10
bn_90,29,35
bn_900,33,11
bn_901,22,2
bn_902,44,6
bn_903,49,17
bn_904,4,64
bn_905,41,54
bn_906,29,35
bn_907,17,34
bn_908,4,9
bn_909,45,52
bn_91,17,22
bn_910,4,64
bn_911,20,75
bn_912,29,35
bn_913,17,22
bn_914,4,9
bn_915,63,71
bn_916,59,14
bn_917,38,40
bn_918,12,11
bn_919,70,7
bn_92,12,11
bn_920,69,6
bn_921,32,60
bn_922,59,14
bn_923,54,5
bn_924,12,11
bn_925,22,2
bn_926,69,6
bn_927,49,17
bn_928,1,36
bn_929,10,31
bn_93,70,7
bn_930,50,24
bn_931,1,36
bn_932,10,31
bn_933,50,24
bn_934,6,21
bn_935,56,4
bn_936,48,15
bn_937,6,21
bn_938,56,4
bn_939,48,15
bn_94,12,11
bn_940,1,36
bn_941,10,31
bn_942,50,24
bn_943,1,36
bn_944,10,31
bn_945,50,24
bn_946,6,21
bn_947,56,4
bn_948,48,15
bn_949,6,21
bn_95,22,2
bn_950,56,4
bn_951,48,15
bn_952,61,30
bn_953,14,10
bn_954,9,3
bn_955,61,30
bn_956,14,10
bn_957,9,3
bn_958,43,21
bn_959,23,4
bn_96,7,59
bn_960,36,15
bn_961,43,21
bn_962,23,4
bn_963,36,15
bn_964,61,30
bn_965,14,10
bn_966,9,3
bn_967,61,30
bn_968,14,10
bn_969,9,3
bn_97,7,59
bn_970,43,21
bn_971,23,4
bn_972,36,15
bn_973,43,21
bn_974,23,4
bn_975,36,15
bn_976,18,16
bn_977,40,37
bn_978,2,39
bn_979,55,61
bn_98,3,4
bn_980,60,23
bn_981,37,33
bn_982,18,16
bn_983,40,62
bn_984,2,39
bn_985,35,26
bn_986,60,23
bn_987,37,27
bn_988,24,14
bn_989,67,40
bn_99,3,4
bn_990,33,11
bn_991,42,7
bn_992,44,6
bn_993,57,60
bn_994,24,14
bn_995,68,28
bn_996,33,11
bn_997,22,2
bn_998,44,6
bn_999,49,17
